MInAS Gang,Date,Group,Presenter,Person,Combination,Extension/Package of Term ID,Term ID,Feedback,Comments
,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Nico Rascovan,MimsHostAssociatedAncient,Ancient,samp_age_range*,"individuals__contextual_date: 
When there is not direct date for the individual, nor association date for the site, this column will have any information of the individual’s date that is not derived from a direct or indirect radio C14 date (e.g., date mentioned in a historical record, archaeological information, dates inferred from objects, dates mentioned in a crypt, or just a very vast category, such as, pre-contact, Holocene, etc.).  ",In radiocarbon extension?
,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Nico Rascovan,MimsHostAssociatedAncient,Ancient,samp_age_range*,"individuals__date: 
This the column that contains the best information we can give from an individuals date (In order of relevance, this columns will include: individuals__calBP_C14_median_date -> sites__calBP14C_median_date –> individuals__contextual_date) ",In radiocarbon extension?
Deon,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Nico Rascovan,MimsHostAssociatedAncient,Ancient,samp_age_range*,"individuals__datation_method: 
This categoy is defined by precise, fixed categories (Individual_C14, Site_C14, Contextual, Historical record, objects, etc.) ",In radiocarbon extension?
Deon,2024-11-22,"Section for Molecular Ecology and Evolution, Globe Institute",Deon de Jager,Viridiana Villa Islas,MimsHostAssociatedAncient,Ancient,samp_age_range*,put examples as the format is not clear.,
Deon,2024-11-22,"Section for Molecular Ecology and Evolution, Globe Institute",Deon de Jager,General discussion,MimsHostAssociatedAncient,Ancient,samp_age_range*,it will change as the years go by (more relevant for historical samples perhaps). What date will be used as the reference? The date that the data were uploaded?,
Deon,2025-03-13,London1,Victor Yan Kin Lee,Mark G. Thomas,MimsHumanAssociatedAncient,Ancient,samp_age_range*,"uncal BP should be included explicitly as `uncal BP` not just `cal`, as calibrated ones is not as useful and people might get confused",
Deon,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Maite Rivollat,MimsHumanAssociatedAncient; applied to all,Ancient,samp_alt_lab_ids,"The diference between sample ID, alternative sample ID and source material is not that clear (esp. if we do arch ID, where would the different lab codes according to potential different analyses (human DNA, pathogens, microbiome…) go
",
Deon,2024-12-05,MPI-EVA PopGen,James Fellows Yates,Guido Alberto Genecchi-Ruscone,MimsHumanAssociatedAncient,Ancient,sample_alt_ids,Should allow multiple entries,
,2024-12-05,MPI-EVA PopGen,James Fellows Yates,Thiseas Lamnidis,MimsHumanAssociatedAncient,Ancient,VARIOUS,Descritions have unclear phrasing - to send sheet with corrections after,
,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Pablo Librado,MimsHostAssociatedAncient,Ancient (Mims),samp_store_loc,Sample Location/Condition of storage - make compulsory because it really affects the DNA quality - especially for museum samples.,
Deon,2025-06-25,Region: WesternEurope,Eleni Seferidou / James Fellows Yates,Lachie Scarsbrook,MimsHumanAssociatedAncient; applied to all,Ancient/Mims,samp_name,"Columns pertaining to the sample IDs should come first, as this will make it easier to track",
,2025-04-03,China,James Fellows Yates,He Yu,MimsHumanAssociatedAncient,Mims,alt,"Is confusing, why would this be important (should hide?)",
,2025-04-03,China,James Fellows Yates,Zhengquan Gu,MimsHumanAssociatedAncient,Mims,alt,What is the difference with elevation?,
,2025-04-03,China,James Fellows Yates,He Yu,MimsHumanAssociatedAncient,Mims,assembly_*,Why is this in the metagenome checklist (should be in MIGS/MIMAG only),
